measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,11,4,0.6364,-3.8571,-0.350649,0.0204,-1.0,0.0204,3.9388,0.0204,0.0204,-0.0159,-0.0265,-3.9592,GRID,T-12,XRP,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,,,,
gross,30,16,1.0,0.1106,0.003686,0.0037,0.0,,0.0,0.0035,0.0091,0.2464,0.3647,0.0703,GRID,T-5,BTC,YES_FAVORITE,ABOVE_0.99,OK,"[0.002919, 0.004683]",0.0005,1.9e-05,0.1555
gross,91,24,0.5604,2.3586,0.025919,0.8306,-1.0,0.8306,9.5499,0.6949,0.9608,1.222,2.0367,-2.4453,GRID,T-5,BTC,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.157144, 0.209083]",0.397801,2.754391,1.0
gross,89,25,0.6292,-2.3292,-0.026171,0.5477,-1.0,0.5477,9.1762,0.4925,0.6667,-0.8587,-1.4311,-5.6626,GRID,T-5,BTC,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.144727, 0.105714]",0.668166,1.464773,1.0
gross,139,27,0.7482,-0.5227,-0.00376,0.3315,-1.0,0.3315,4.8043,0.2987,0.4286,-2.46,-4.0999,-2.6655,GRID,T-5,BTC,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.075528, 0.078348]",0.550725,1.100103,1.0
gross,139,27,0.8561,0.5726,0.004119,0.1729,-1.0,0.1729,4.4591,0.1494,0.25,1.3099,2.1831,-0.6774,GRID,T-5,BTC,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.069079, 0.077973]",0.477261,1.062045,1.0
gross,340,27,0.95,-0.8736,-0.00257,0.0499,-1.0,0.0499,4.3106,0.0417,0.1111,-0.3815,-0.6359,-1.4292,GRID,T-5,BTC,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.02247, 0.016719]",0.590205,0.424901,1.0
gross,20,14,0.0,-20.0,-1.0,0.0,-1.0,0.0,20.0,-1.0,-1.0,0.15,0.25,-15.0,GRID,T-5,BTC,YES_OUTSIDER,BELOW_0.01,OK,"[-1.0, -1.0]",1.0,0.244898,1.0
gross,140,28,0.0143,-90.0,-0.642857,24.0,-1.0,24.0,96.0,-1.0,24.0,-0.5222,-0.5,-135.0,GRID,T-5,BTC,YES_OUTSIDER,"[0.01,0.05)",OK,"[-1.0, -0.119718]",1.0,38.811224,1.0
gross,167,28,0.0539,-31.1667,-0.186627,14.0926,-1.0,14.0926,62.0,-1.0,19.0,-1.7219,-2.5936,-112.0,GRID,T-5,BTC,YES_OUTSIDER,"[0.05,0.10)",OK,"[-0.618056, 0.285872]",0.786607,54.694551,1.0
