feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
funding_rate,contract,F2,0,0,,,,
funding_rate_ma3,contract,F2,0,0,,,,
high_price_final,contract,F2,0,239094,,,,
hour_cos,contract,F2,0,239094,,,,
hour_of_day,contract,F2,0,239094,,,,
hour_sin,contract,F2,0,239094,,,,
hour_utc,contract,F2,0,239094,,,,
is_final_phase,contract,F2,0,239094,,,,
log_moneyness,contract,F2,0,0,,,,
log_time_left,contract,F2,0,239094,,,,
mid_price,contract,F2,0,239094,,,,
pm_best_ask,contract,F2,0,239094,,,,
pm_best_bid,contract,F2,0,239094,,,,
pm_momentum_5m,contract,F2,0,239094,,,,
pm_quote_pressure,contract,F2,0,239094,,,,
pm_spread_pct,contract,F2,0,239094,,,,
pm_volume_5m,contract,F2,0,239094,,,,
price_deviation,contract,F2,0,239094,,,,
price_deviation_sq,contract,F2,0,239094,,,,
price_distance_from_max,contract,F2,0,239094,,,,
price_momentum,contract,F2,0,238426,,,,
price_velocity,contract,F2,0,239094,,,,
price_velocity_lag1,contract,F2,0,239094,,,,
range_1,contract,F2,0,239094,,,,
range_avg_24,contract,F2,0,239094,,,,
ret_1,contract,F2,0,239094,,,,
ret_12,contract,F2,0,239094,,,,
ret_24,contract,F2,0,239094,,,,
ret_3,contract,F2,0,239094,,,,
ret_48,contract,F2,0,239094,,,,
ret_6,contract,F2,0,239094,,,,
rsi_14,contract,F2,0,239094,,,,
signed_body_pct,contract,F2,0,239094,,,,
signed_trend_efficiency_6,contract,F2,0,239094,,,,
spread,contract,F2,0,239094,,,,
spread_pct,contract,F2,0,239094,,,,
spread_trend,contract,F2,0,237740,,,,
strike_gap_pct,contract,F2,0,0,,,,
taker_buy_ratio,contract,F2,0,239094,,,,
time_left_min,contract,F2,0,239094,,,,
time_phase,contract,F2,0,239094,,,,
up_ratio_4,contract,F2,0,239094,,,,
velocity_x_phase,contract,F2,0,239094,,,,
vol_24,contract,F2,0,239094,,,,
vol_48,contract,F2,0,239094,,,,
vol_6,contract,F2,0,239094,,,,
vol_ratio,contract,F2,0,239094,,,,
vol_trend,contract,F2,0,239094,,,,
vol_z_1,contract,F2,0,239094,,,,
vol_z_6,contract,F2,0,239094,,,,
volume_5min,contract,F2,0,239094,,,,
volume_trend,contract,F2,0,238426,,,,
alternation_rate_6,native,F3,237629,111450,0.49300027787149414,0.5776075604596246,,
bb_position,native,F3,237629,111450,0.503393401988458,0.5772575924289195,,
bb_width,native,F3,237629,111450,0.47570864325805295,0.5784771939567717,,
body_to_range,native,F3,237629,111450,0.493212153418672,0.5770106737161229,,
consec_balance,native,F3,237629,111450,0.49646157418463266,0.5769946474293041,,
consec_down,native,F3,237629,111450,0.5008113411508722,0.5771776970197529,,
consec_up,native,F3,237629,111450,0.504279612421174,0.577231190958062,,
consecutive_down,native,F3,237629,111450,0.4958189773552083,0.5775921252650575,,
consecutive_up,native,F3,237629,111450,0.49758109431136205,0.5777755380232399,,
cvd_1,native,F3,237629,111450,0.4996436922230464,0.5771988529375058,,
cvd_6,native,F3,237629,111450,0.5073776716193228,0.5768987821284217,,
cvd_trend,native,F3,237629,111450,0.5044963924392271,0.5769279141529241,,
day_of_week,native,F3,237629,111450,0.4843295837290449,0.5784196024722369,,
dev_sq_x_phase,native,F3,237629,111450,0.7389670662785935,0.49774133019870437,,
deviation_x_time,native,F3,237629,111450,0.5,0.5769438922258966,,
direction_lag_1,native,F3,237629,111450,0.49640362130453025,0.5778321815597363,,
direction_lag_2,native,F3,237629,111450,0.5012687276423069,0.5769401518639045,,
direction_lag_3,native,F3,237629,111450,0.5026662210767285,0.5770295285012358,,
dist_to_high_24,native,F3,237629,111450,0.4881527541820734,0.5787445339084387,,
dist_to_high_96,native,F3,237629,111450,0.50144804046397,0.5779849840270005,,
dist_to_low_24,native,F3,237629,111450,0.48851760206696687,0.5770612095741751,,
dist_to_low_96,native,F3,237629,111450,0.5085495714203492,0.5770999300264995,,
dow,native,F3,237629,111450,0.4843295837290449,0.5784196024722369,,
dow_cos,native,F3,237629,111450,0.48718208760796766,0.5777854681007785,,
dow_sin,native,F3,237629,111450,0.5050952824124821,0.5770893384340463,,
ema_ratio_9_21,native,F3,237629,111450,0.49975227321032745,0.5770579672362386,,
funding_extreme,native,F3,0,0,,,,
funding_rate,native,F3,0,0,,,,
funding_rate_ma3,native,F3,0,0,,,,
high_price_final,native,F3,237629,111450,0.7389613651318727,0.5021665778053196,,
hour_cos,native,F3,237629,111450,0.5245837324227622,0.5764686160736545,,
hour_of_day,native,F3,237629,111450,0.5199754530610621,0.5765350922088888,,
hour_sin,native,F3,237629,111450,0.4917748597842321,0.5773373471488741,,
hour_utc,native,F3,237629,111450,0.5199754530610621,0.5765350922088888,,
is_final_phase,native,F3,237629,111450,0.5,0.5769438922258966,,
log_moneyness,native,F3,0,0,,,,
log_time_left,native,F3,237629,111450,0.5,0.5769438922258966,,
mid_price,native,F3,237629,111450,0.5091421051976912,0.5771564289213931,,
pm_best_ask,native,F3,237629,111450,0.5083862659356418,0.5771563140610453,,
pm_best_bid,native,F3,237629,111450,0.5094905156816767,0.5771536612742721,,
pm_momentum_5m,native,F3,237629,111450,0.5022943057522598,0.5770331925500651,,
pm_quote_pressure,native,F3,237629,111450,0.5091411928151506,0.5771564289213931,,
pm_spread_pct,native,F3,237629,111450,0.5348165104922049,0.5596393026563676,,
pm_volume_5m,native,F3,237629,111450,0.5,0.5769438922258966,,
price_deviation,native,F3,237629,111450,0.7389613651318727,0.5021665778053196,,
price_deviation_sq,native,F3,237629,111450,0.7389670662785935,0.49774133019870437,,
price_distance_from_max,native,F3,237629,111450,0.5493411470227538,0.5665822280374486,,
price_momentum,native,F3,236961,111138,0.5062034476152777,0.5763412309525927,,
price_velocity,native,F3,237629,111450,0.5022943057522598,0.5770331925500651,,
price_velocity_lag1,native,F3,237629,111450,0.5043746623606585,0.5769593932530421,,
range_1,native,F3,237629,111450,0.5072884984601983,0.5769035343920316,,
range_avg_24,native,F3,237629,111450,0.48272953826021214,0.5789716376275572,,
ret_1,native,F3,237629,111450,0.5022019784452204,0.5773556763553408,,
ret_12,native,F3,237629,111450,0.5059958763485914,0.5772323051569613,,
ret_24,native,F3,237629,111450,0.5086010534346419,0.5769294886777211,,
ret_3,native,F3,237629,111450,0.5081349472617946,0.5767884528310996,,
ret_48,native,F3,237629,111450,0.5097478137789196,0.5770352179591701,,
ret_6,native,F3,237629,111450,0.5127437149555136,0.5766441486728128,,
rsi_14,native,F3,237629,111450,0.5072937398905345,0.5769245846579809,,
signed_body_pct,native,F3,237629,111450,0.5021111418468367,0.5773471451693276,,
signed_trend_efficiency_6,native,F3,237629,111450,0.5088862237817022,0.5771674407116343,,
