variant,group,fold,n_train,n_val,logloss,brier,canonical_pnl,best_iter,delta_logloss,delta_brier,delta_canonical_pnl
DROP_GROUP_polymarket_state,polymarket_state,F6,105000,94100,0.5332759350933819,0.18360555022279174,-0.004889773202128941,250,-0.001009110429005311,-0.00047487441237809014,-0.007091380331634818
ONLY_GROUP_polymarket_state,polymarket_state,F6,105000,94100,0.538188003128977,0.18562166567121133,-0.04560254515896553,250,0.003902957606589763,0.0015412410360415019,-0.04780415228847141
DROP_GROUP_price_returns,price_returns,F6,105000,94100,0.5351209311286567,0.18438011026288786,-0.009797881883088262,250,0.0008358856062694597,0.0002996856277180382,-0.01199948901259414
ONLY_GROUP_price_returns,price_returns,F6,105000,94100,0.7150088476871164,0.25978274096160936,-0.1563585471334705,250,0.18072380216472916,0.07570231632643953,-0.15856015426297637
DROP_GROUP_regime,regime,F6,105000,94100,0.53612273879853,0.18492886466504752,-0.01013546100494975,250,0.0018376932761428044,0.0008484400298776895,-0.012337068134455629
ONLY_GROUP_regime,regime,F6,105000,94100,0.7030098735940503,0.25401172453556753,-0.12981506975713092,250,0.1687248280716631,0.0699312999003977,-0.1320166768866368
DROP_GROUP_sequence,sequence,F6,105000,94100,0.5323563746872509,0.18329953014778042,-0.012924562360016031,250,-0.0019286708351362591,-0.0007808944873894108,-0.01512616948952191
ONLY_GROUP_sequence,sequence,F6,105000,94100,0.5389481479367747,0.18601412052614005,-0.03338797039022488,250,0.004663102414387499,0.0019336958909702273,-0.03558957751973076
DROP_GROUP_time,time,F6,105000,94100,0.532363107698039,0.18325724051669995,0.00736136183237477,250,-0.001921937824348241,-0.0008231841184698774,0.005159754702868892
ONLY_GROUP_time,time,F6,105000,94100,0.7110232605042635,0.2579133466233219,-0.14541861710870482,245,0.17673821498187625,0.07383292198815206,-0.1476202242382107
DROP_GROUP_trend,trend,F6,105000,94100,0.5331193904053189,0.18345327498789377,-0.010894239584657166,250,-0.0011656551170683427,-0.0006271496472760596,-0.013095846714163044
ONLY_GROUP_trend,trend,F6,105000,94100,0.7006752366537514,0.2531162344840928,-0.14235204260373222,250,0.16639019113136422,0.06903580984892299,-0.1445536497332381
DROP_GROUP_volatility,volatility,F6,105000,94100,0.535634918782543,0.18475734539552868,-0.010137955310626423,250,0.0013498732601557872,0.0006769207603588567,-0.0123395624401323
ONLY_GROUP_volatility,volatility,F6,105000,94100,0.702674396316691,0.2544043044579869,-0.14980949785076061,250,0.16838935079430384,0.07032387982281707,-0.1520111049802665
DROP_GROUP_volume_taker_flow,volume_taker_flow,F6,105000,94100,0.5321705018804904,0.1834483220705461,-0.004412021390919771,250,-0.0021145436418967822,-0.0006321025646237322,-0.006613628520425649
ONLY_GROUP_volume_taker_flow,volume_taker_flow,F6,105000,94100,0.7166392516069218,0.26103320040309963,-0.17667744561520146,250,0.18235420608453456,0.0769527757679298,-0.17887905274470733
MINIMAL_CONTROL,,F6,105000,94100,0.5384039430096302,0.18571943161705617,-0.02346138613514276,250,0.004118897487243034,0.0016390069818863484,-0.025662993264648635
