asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
XRP,T-12,"[0.50,0.60)",87,-27.4355,40,-16.4646,28.0,17.0292,10.9708
XRP,T-12,"[0.90,0.99]",11,-3.8571,1,-1.0,3.0,0.1429,2.8571
XRP,T-5,BELOW_0.01,16,-16.0,0,0,16.0,0,16.0
XRP,T-5,"[0.01,0.05)",163,-88.0,7,-7.0,154.0,73.0,81.0
XRP,T-5,"[0.05,0.10)",116,-16.9921,6,8.2857,104.0,78.7222,25.2778
XRP,T-5,"[0.10,0.15)",81,-54.9744,14,-14.0,64.0,23.0256,40.9744
XRP,T-5,"[0.15,0.20)",57,-40.2237,20,-20.0,34.0,13.7763,20.2237
XRP,T-5,"[0.20,0.25)",41,-13.8355,18,-18.0,17.0,21.1645,-4.1645
XRP,T-5,"[0.25,0.30)",43,-0.0962,10,8.141,26.0,17.7628,8.2372
XRP,T-5,"[0.30,0.35)",44,-16.2304,19,-3.6474,21.0,8.417,12.583
XRP,T-5,"[0.35,0.40)",38,-0.4193,18,3.7165,14.0,9.8642,4.1358
XRP,T-5,"[0.40,0.50)",81,-3.0612,42,5.1421,25.0,16.7968,8.2032
XRP,T-5,"[0.50,0.60)",23,2.4599,7,-1.1161,6.0,9.5761,-3.5761
XRP,T-5,"[0.90,0.99]",2,-2.0,0,0,2.0,0,2.0
XRP,T-8,BELOW_0.01,1,-1.0,0,0,1.0,0,1.0
XRP,T-8,"[0.01,0.05)",38,-4.6667,1,-1.0,36.0,32.3333,3.6667
XRP,T-8,"[0.05,0.10)",77,-64.5,0,0,76.0,11.5,64.5
XRP,T-8,"[0.10,0.15)",93,-24.7749,2,5.1429,84.0,54.0823,29.9178
XRP,T-8,"[0.15,0.20)",88,-35.3413,13,-7.7368,67.0,39.3955,27.6045
XRP,T-8,"[0.20,0.25)",76,-43.6543,18,-13.8333,52.0,22.179,29.821
XRP,T-8,"[0.25,0.30)",57,-20.1163,20,-16.4286,28.0,24.3123,3.6877
XRP,T-8,"[0.30,0.35)",59,2.8443,28,-0.509,20.0,23.3532,-3.3532
XRP,T-8,"[0.35,0.40)",66,1.1833,33,1.5528,21.0,20.6304,0.3696
XRP,T-8,"[0.40,0.50)",123,11.0982,63,6.2234,31.0,35.8747,-4.8747
XRP,T-8,"[0.50,0.60)",21,2.5761,12,1.7285,4.0,4.8476,-0.8476
XRP,T-8,"[0.60,0.70)",1,0.6393,0,0,0,0.6393,-0.6393
XRP,T-8,"[0.90,0.99]",2,-2.0,0,0,2.0,0,2.0
