measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,111,27,0.4865,-6.993,-0.063,0.9261,-1.0,0.9261,14.1056,-1.0,0.9608,-0.4122,-0.687,-11.7969,FUNNEL,FUNNEL_OBSERVED,ETH,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.219204, 0.08069]",0.814093,2.828708,1.0
gross,21,6,0.6667,0.4349,0.020707,0.5311,-1.0,0.5311,2.4615,0.4706,0.6667,4.2931,6.9372,-2.5818,FUNNEL,FUNNEL_OBSERVED,ETH,NO_FAVORITE,"[0.60,0.70)",INSUFFICIENT_SAMPLE,,,,
gross,11,6,0.9091,2.5647,0.233157,0.3565,-1.0,0.3565,1.0,0.3514,0.4286,0.4704,0.7662,0.5996,FUNNEL,FUNNEL_OBSERVED,ETH,NO_FAVORITE,"[0.70,0.80)",INSUFFICIENT_SAMPLE,,,,
gross,22,14,0.7727,-1.8927,-0.086032,0.1828,-1.0,0.1828,2.8235,0.1561,0.25,-0.3881,-0.6203,-3.0667,FUNNEL,FUNNEL_OBSERVED,ETH,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.288958, 0.178058]",0.764618,0.607466,1.0
gross,21,10,0.8095,-2.8468,-0.135564,0.0678,-1.0,0.0678,3.1446,0.0526,0.1111,-0.1085,-0.1696,-3.3297,FUNNEL,FUNNEL_OBSERVED,ETH,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.253706, 0.010256]",0.949525,0.240939,1.0
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,,,,
gross,4,3,0.0,-4.0,-1.0,0.0,-1.0,0.0,4.0,-1.0,-1.0,0.75,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,3,3,0.3333,1.0,0.333333,3.0,-1.0,3.0,2.0,-1.0,3.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
gross,22,13,0.3636,2.0697,0.094079,2.0087,-1.0,2.0087,7.0588,-1.0,2.125,2.9886,4.9505,-8.1765,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.816176, 0.863206]",0.365317,7.135944,1.0
gross,71,22,0.4366,11.7429,0.165393,1.6691,-1.0,1.6691,6.094,-1.0,1.8571,0.4745,0.784,2.5366,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.05705, 0.357628]",0.075462,2.944969,1.0
gross,734,29,0.436,-33.4549,-0.045579,1.1892,-1.0,1.1892,41.1118,-1.0,1.5,-0.1345,-0.2242,-40.9549,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.111069, 0.028567]",0.905047,23.515017,1.0
gross,209,27,0.5311,13.0,0.062201,1.0,-1.0,1.0,9.0,1.0,1.0,0.2308,0.3846,8.0,FUNNEL,FUNNEL_OBSERVED,ETH,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.055351, 0.193717]",0.158921,5.953361,1.0
gross,1,1,1.0,0.001,0.001001,0.001,0.0,,0.0,0.001,0.001,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,ABOVE_0.99,INSUFFICIENT_SAMPLE,,,,
gross,61,19,0.5246,0.7257,0.011897,0.9289,-1.0,0.9289,7.4996,0.8182,0.9608,3.9716,6.6193,-4.0782,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.254312, 0.24653]",0.484758,3.046089,1.0
gross,28,4,0.7143,3.0733,0.10976,0.5537,-1.0,0.5537,2.0801,0.5038,0.6393,0.6241,1.0402,-0.1234,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,"[0.60,0.70)",INSUFFICIENT_SAMPLE,,,,
gross,13,4,1.0,4.3719,0.336299,0.3363,0.0,,0.0,0.3333,0.4085,0.2758,0.4408,2.4449,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,"[0.70,0.80)",INSUFFICIENT_SAMPLE,,,,
gross,13,7,1.0,2.5098,0.193058,0.1931,0.0,,0.0,0.2048,0.2346,0.2804,0.4613,1.352,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,"[0.80,0.90)",INSUFFICIENT_SAMPLE,,,,
gross,8,6,0.875,-0.6468,-0.08085,0.0505,-1.0,0.0505,1.0,0.0418,0.0989,-0.3857,-0.5148,-0.9798,FUNNEL,FUNNEL_OBSERVED,ETH,YES_FAVORITE,"[0.90,0.99]",INSUFFICIENT_SAMPLE,,,,
gross,2,2,0.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,,,,
