asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
SOL,00-06,0,FUNNEL,YES_FAVORITE,4,2,0.25,-2.8235,-0.705882
SOL,00-06,0,FUNNEL,YES_OUTSIDER,33,3,0.4242,1.4361,0.043517
SOL,00-06,0,GRID,YES_FAVORITE,56,3,0.7857,0.9854,0.017596
SOL,00-06,0,GRID,YES_OUTSIDER,51,3,0.1961,-20.9086,-0.409973
SOL,00-06,1,FUNNEL,NO_FAVORITE,14,5,0.7143,0.9823,0.070164
SOL,00-06,1,FUNNEL,NO_OUTSIDER,40,5,0.55,6.1832,0.15458
SOL,00-06,1,FUNNEL,YES_FAVORITE,15,4,0.6667,1.6124,0.107492
SOL,00-06,1,FUNNEL,YES_OUTSIDER,33,4,0.4545,-1.4907,-0.045172
SOL,00-06,1,GRID,YES_FAVORITE,68,5,0.7941,0.6682,0.009826
SOL,00-06,1,GRID,YES_OUTSIDER,91,5,0.1758,-38.5455,-0.423577
SOL,00-06,2,FUNNEL,NO_FAVORITE,38,4,0.3947,-11.3972,-0.299925
SOL,00-06,2,FUNNEL,NO_OUTSIDER,33,5,0.5455,5.328,0.161456
SOL,00-06,2,FUNNEL,YES_FAVORITE,9,4,0.5556,-0.1575,-0.017495
SOL,00-06,2,FUNNEL,YES_OUTSIDER,33,5,0.3939,-5.2627,-0.159475
SOL,00-06,2,GRID,YES_FAVORITE,73,5,0.6575,-6.8479,-0.093807
SOL,00-06,2,GRID,YES_OUTSIDER,87,5,0.3333,-11.8899,-0.136665
SOL,00-06,3,FUNNEL,NO_FAVORITE,11,4,0.5455,-1.1439,-0.103989
SOL,00-06,3,FUNNEL,NO_OUTSIDER,32,4,0.4688,0.7319,0.022872
SOL,00-06,3,FUNNEL,YES_FAVORITE,8,3,0.75,1.7948,0.22435
SOL,00-06,3,FUNNEL,YES_OUTSIDER,29,3,0.5172,6.6626,0.229745
SOL,00-06,3,GRID,YES_FAVORITE,84,4,0.7262,-8.585,-0.102203
SOL,00-06,3,GRID,YES_OUTSIDER,87,4,0.2759,44.1128,0.507044
SOL,00-06,4,FUNNEL,NO_FAVORITE,14,4,0.5,-1.4968,-0.106912
