n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,asset,entry_policy,entry_time,variant,price_bin,status,exp_ci95
33,16,0.2727,-5.5267,-5.5267,-6.1867,-0.167477,2.0526,-1.0,2.0526,12.0588,-1.0,-1.9053,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.618079, 0.252311]"
76,25,0.3947,4.8794,4.8794,3.3594,0.064203,1.696,-1.0,1.696,12.3684,-1.0,1.8868,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.174827, 0.276014]"
471,30,0.4076,-53.9806,-53.9806,-63.4006,-0.114609,1.172,-1.0,1.172,61.5906,-1.0,-0.1389,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.206338, -0.019203]"
126,29,0.5317,8.0,8.0,5.48,0.063492,1.0,-1.0,1.0,8.0,1.0,0.625,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.114504, 0.229358]"
212,27,0.5047,-11.6192,-11.6192,-15.8592,-0.054807,0.8727,-1.0,0.8727,17.8896,0.6949,-0.4134,DOGE,FUNNEL,FUNNEL,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.179482, 0.09373]"
59,19,0.6102,-2.368,-2.368,-3.548,-0.040135,0.5731,-1.0,0.5731,9.5629,0.4925,-1.4077,DOGE,FUNNEL,FUNNEL,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.186598, 0.110605]"
22,15,0.8182,2.0373,2.0373,1.5973,0.092604,0.3354,-1.0,0.3354,1.7342,0.2987,1.003,DOGE,FUNNEL,FUNNEL,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.145477, 0.284268]"
35,16,0.8571,0.3879,0.3879,-0.3121,0.011082,0.1796,-1.0,0.1796,1.8095,0.1765,3.1032,DOGE,FUNNEL,FUNNEL,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.112457, 0.11426]"
34,16,0.9118,-1.5826,-1.5826,-2.2626,-0.046546,0.0457,-1.0,0.0457,2.2984,0.0309,-0.3356,DOGE,FUNNEL,FUNNEL,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.142936, 0.045027]"
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,
6,6,0.1667,-1.8333,-1.8333,-1.9533,-0.305556,3.1667,-1.0,3.1667,5.0,-1.0,0.4545,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,
11,10,0.4545,6.62,6.62,6.4,0.601815,2.524,-1.0,2.524,3.0,-1.0,1.9063,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.361845, 1.519033]"
39,19,0.4359,13.2548,13.2548,12.4748,0.339867,2.0738,-1.0,2.0738,9.0588,-1.0,0.8477,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.228261, 0.890241]"
83,24,0.4096,6.1677,6.1677,4.5077,0.07431,1.6226,-1.0,1.6226,11.4359,-1.0,1.4676,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.24944, 0.383301]"
615,27,0.4407,-27.1252,-27.1252,-39.4252,-0.044106,1.1693,-1.0,1.1693,57.2346,-1.0,-0.2765,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.127234, 0.038249]"
108,26,0.4352,-14.0,-14.0,-16.16,-0.12963,1.0,-1.0,1.0,17.0,-1.0,-0.3571,DOGE,FUNNEL,FUNNEL,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.316239, 0.048387]"
182,28,0.5385,-6.4924,-6.4924,-10.1324,-0.035673,0.7909,-1.0,0.7909,20.0798,0.6949,-0.7283,DOGE,GRID,12,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.163599, 0.091441]"
282,28,0.6489,-1.1502,-1.1502,-6.7902,-0.004079,0.5347,-1.0,0.5347,14.5879,0.4706,-2.8979,DOGE,GRID,12,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.098188, 0.077735]"
201,28,0.7313,-3.4839,-3.4839,-7.5039,-0.017333,0.3436,-1.0,0.3436,9.7059,0.2987,-0.6151,DOGE,GRID,12,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.103955, 0.060328]"
168,28,0.8095,-5.354,-5.354,-8.714,-0.031869,0.1959,-1.0,0.1959,7.1526,0.1765,-0.2335,DOGE,GRID,12,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.093504, 0.03634]"
65,23,0.9231,-0.5173,-0.5173,-1.8173,-0.007959,0.0747,-1.0,0.0747,2.1286,0.0753,-1.0739,DOGE,GRID,12,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.087681, 0.058392]"
12,10,0.0,-12.0,-12.0,-12.24,-1.0,0.0,-1.0,0.0,12.0,-1.0,0.4167,DOGE,GRID,12,YES_OUTSIDER,"[0.05,0.10)",OK,"[-1.0, -1.0]"
39,19,0.2051,25.6953,25.6953,24.9153,0.658854,7.0869,-1.0,7.0869,13.0,-1.0,1.4465,DOGE,GRID,12,YES_OUTSIDER,"[0.10,0.15)",OK,"[-0.609601, 2.037534]"
68,25,0.1765,2.2713,2.2713,0.9113,0.033402,4.8559,-1.0,4.8559,16.7565,-1.0,11.6003,DOGE,GRID,12,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.38176, 0.478569]"
