decision_at,day,net,cumnet
2026-08-14 19:25:00+00:00,2026-08-14,-1.0,73.134727449182
2026-08-14 19:35:00+00:00,2026-08-14,1.968839065171955,75.10356651435394
2026-08-14 19:40:00+00:00,2026-08-14,-1.0,74.10356651435394
2026-08-14 20:28:00+00:00,2026-08-14,-1.0,73.10356651435394
2026-08-14 20:50:00+00:00,2026-08-14,-1.0,72.10356651435394
2026-08-14 21:13:00+00:00,2026-08-14,-1.0,71.10356651435394
2026-08-14 21:58:00+00:00,2026-08-14,8.363295880149812,79.46686239450375
2026-08-14 22:25:00+00:00,2026-08-14,-1.0,78.46686239450375
2026-08-14 22:28:00+00:00,2026-08-14,-1.0,77.46686239450375
2026-08-14 23:55:00+00:00,2026-08-14,-1.0,76.46686239450375
2026-08-15 00:35:00+00:00,2026-08-15,2.2694376240342895,78.73630001853805
2026-08-15 01:10:00+00:00,2026-08-15,-1.0,77.73630001853805
2026-08-15 01:58:00+00:00,2026-08-15,3.1059836499731057,80.84228366851116
2026-08-15 02:40:00+00:00,2026-08-15,-1.0,79.84228366851116
2026-08-15 02:50:00+00:00,2026-08-15,1.8807900278572394,81.7230736963684
2026-08-15 02:50:00+00:00,2026-08-15,2.782505910165485,84.50557960653389
2026-08-15 03:10:00+00:00,2026-08-15,1.5100905640675513,86.01567017060144
2026-08-15 03:28:00+00:00,2026-08-15,-1.0,85.01567017060144
2026-08-15 03:40:00+00:00,2026-08-15,-1.0,84.01567017060144
2026-08-15 05:25:00+00:00,2026-08-15,-1.0,83.01567017060144
2026-08-15 06:25:00+00:00,2026-08-15,4.875164504606128,87.89083467520757
2026-08-15 06:40:00+00:00,2026-08-15,-1.0,86.89083467520757
2026-08-15 08:55:00+00:00,2026-08-15,2.162555344718532,89.0533900199261
2026-08-17 17:58:00+00:00,2026-08-17,-1.0,88.0533900199261
2026-08-17 18:55:00+00:00,2026-08-17,-1.0,87.0533900199261
2026-08-17 18:55:00+00:00,2026-08-17,-1.0,86.0533900199261
2026-08-17 19:10:00+00:00,2026-08-17,-1.0,85.0533900199261
2026-08-17 19:40:00+00:00,2026-08-17,-1.0,84.0533900199261
2026-08-17 20:10:00+00:00,2026-08-17,-1.0,83.0533900199261
2026-08-17 20:25:00+00:00,2026-08-17,2.0625713961956738,85.11596141612178
2026-08-17 20:40:00+00:00,2026-08-17,-1.0,84.11596141612178
2026-08-17 20:55:00+00:00,2026-08-17,6.216725482979352,90.33268689910113
2026-08-17 21:55:00+00:00,2026-08-17,2.162555344718532,92.49524224381966
