asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
SOL,10,BASE,1.0,,uniform,PLATT,0.6415,0.0032,0.0,2714,0.4676,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,1,BASE,0.1,,uniform,RAW,0.6255,0.0015,0.0,2835,0.7485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,2,BASE,0.1,,uniform,PLATT,0.6255,0.0015,0.0,2835,0.7485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,3,BASE,0.1,,time_decay,RAW,0.6268,0.0023,0.0,2716,0.7364,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,4,BASE,0.1,,time_decay,PLATT,0.6268,0.0023,0.0,2716,0.7364,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,5,BASE,0.1,balanced,uniform,RAW,0.629,0.3817,0.0,3870,0.1866,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3817 > 0.10)
SOL_decided,6,BASE,0.1,balanced,uniform,PLATT,0.629,0.3817,0.0,3870,0.1866,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3817 > 0.10)
SOL_decided,7,BASE,0.1,balanced,time_decay,RAW,0.6306,0.4388,0.0,3871,0.1865,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4388 > 0.10)
SOL_decided,8,BASE,0.1,balanced,time_decay,PLATT,0.6306,0.4388,0.0,3871,0.1865,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4388 > 0.10)
SOL_decided,9,BASE,1.0,,uniform,RAW,0.6274,0.0018,0.0,2827,0.7485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_decided,10,BASE,1.0,,uniform,PLATT,0.6274,0.0018,0.0,2827,0.7485,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,1,BASE,0.1,,uniform,RAW,0.4854,0.0032,0.0,2155,0.5666,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,2,BASE,0.1,,uniform,PLATT,0.4854,0.0032,0.0,2155,0.5666,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,3,BASE,0.1,,time_decay,RAW,0.493,0.0026,0.0,2123,0.561,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,4,BASE,0.1,,time_decay,PLATT,0.493,0.0026,0.0,2123,0.561,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,5,BASE,0.1,balanced,uniform,RAW,0.4914,0.188,0.0,3795,0.3352,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1880 > 0.10)
SOL_leaning,6,BASE,0.1,balanced,uniform,PLATT,0.4914,0.188,0.0,3795,0.3352,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1880 > 0.10)
SOL_leaning,7,BASE,0.1,balanced,time_decay,RAW,0.4934,0.1916,0.0,3795,0.3352,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1916 > 0.10)
SOL_leaning,8,BASE,0.1,balanced,time_decay,PLATT,0.4934,0.1916,0.0,3795,0.3352,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1916 > 0.10)
SOL_leaning,9,BASE,1.0,,uniform,RAW,0.486,0.0031,0.0,2113,0.567,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_leaning,10,BASE,1.0,,uniform,PLATT,0.486,0.0031,0.0,2113,0.567,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,1,BASE,0.1,,uniform,RAW,0.4959,0.0068,0.0,1003,0.4816,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,2,BASE,0.1,,uniform,PLATT,0.4959,0.0068,0.0,1003,0.4816,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,3,BASE,0.1,,time_decay,RAW,0.4896,0.0065,0.0,967,0.4829,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,4,BASE,0.1,,time_decay,PLATT,0.4896,0.0065,0.0,967,0.4829,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
